Number,Prompt
3253,the features and exterior of a blue car are shown
3289,a man in a white muscle shirt and blue shorts stands on a beach near the ocean and exercises
3315,a girl is telling a story
3334,a montage of clips from various movies show a certain type of facial close-up common in hollywood narrated by a male
34,super hero s power in cartoon clip
3442,a news anchor is talking to a man on screen
3486,a poilce car screeching as it speeds off to arrest a guy
3494,a far guy is going to kiss a girl
3517,young people dancing to r&b music in a gym
3548,footage of luigi being ran over in a game is shown
3557,in a tv advertising channel a set of fringe sleeved dress  skirt and red shirt are shown lively
3571,video of a man talking to some kids in an office
3574,a man wearing a black shirt holds a pen and talks
3588,a sports panel discusses a hockey fight
364,a group is smiling
3666,a person is driving a car
3704,a woman is riding on a horse in sand
3725,gameplay clips from the last of us
3763,a man is riding down a street
377,a little girl is signing in a tv show
3771,ladies joking around and laughing
3783,people are performing on stage
3787,a timer is ticking down until a news story is featured
3789,there is a man look a trail for formula one racing
3841,a hamster inside of a small plastic container with many air holes
3847,multiple animated creatures show fear of a tree monster
3891,ducklings are playing with a kitten
390,someone is playing a game
3911,the man is using gloves to pick up something with a forceps
393,a man with gray hair and a beard sitting in a black chair while talking to another person
394,a commercial is encouraging us to use our like features on facebook
3950,a man sings a love song and plays guitar outdoors
3953,in the hotel room the old men is watch the mystory the back ground music is like as arriving of ghost
3987,person talking about the software they are using
3995,a woman fashion blogger is being interviewd about a fashion show
3996,a mole digging in the dirt and making a path underground
3998,a soccer game is enthusiastically being played while lively music is played in the background
402,a duck in a blue shirt and cat sitting in front of a computer
4035,animated characters are sword fighting
406,guy playing video game and talking about it
4080,a group of people sit in chairs around a small table
4085,a young girl is playing an instrument
4097,a man is riding a jet pack through a building
4099,someone is showing video graphic fight
4119,there is a wise manwho is remembering something to seeing the photos of a young boy and girl
4144,a group of dancers all doing the same dance
4160,a man and woman talking to a tv camera about sports
42,a man talking about a cars in car screen display
4208,a doctor discusses addiction
4244,a person is performing for judges
4289,a band preforms a song
4308,krabs has a conversation by phone as spongebob panics outside the door
4319,a demonstration of how to prepare specific ingredients
4362,two men are fighting in a animated video
4374,she was shocked that the apatment had been emptied out
4379,a boy talks happily about eating ice cream
4409,a first person shooter is played and talked about
4440,two men standing beside the swimming pool
4455,a woman dances around in a room
4489,a woman is taking a before and after photo
4501,a golfer takes a long drive towards the green
4543,a man is sitting
4552,a white box truck driving on a one-way street collides with the sign that states a specific height requirement in order to pass under the underpass
4562,it is the part of online game
4566,players are playing basketball and one had put a ball in basket
4606,a person is setting the oven and putting a cake in
4619,a screen play for the game angry birds
462,a man looking into the sunset
4627,a person stirs a pot of soup with a wooden spoon
463,a game play video of minecraft
4644,a person is being shown
4656,a woman talks about an actor who is seen holding an award
4673,a person doing something on floor
4685,a cartoon of a woman singing in a fountain with sheep
4699,a man is talking to three other people
4720,scene from the avengers
4721,a chilli is being sliced with a knife and put into a small bowl
4745,a woman carries her overgrown son on her back and spins him about while a dog hounds them
4841,man trying to catch a ball and a person hitting the ball in baseball
4870,soldiers are in a war zone
4875,a woman and a man who is dressed in women s clothing are talking
4877,someone is playing guitar  and talk about that
4901,clip of nbc news program
4915,a young men is talking about some parts of the body that is nephrons and kidneys in the show
4998,a claw is throing sand around in the water
5002,a black man gives a lecture
5010,a person is playing with a woman s hair
5037,large sky height buildings with flags outside for some  a bus moving on road
5041,shaving cream is put on bill murray
5075,a woman is speaking and a toy boat is floating in the water
5098,a teacher is teaching in the classroom
5103,barack obama on the stage with jimmy fallon
5125,soccer players are playing in a stadium
5167,a sailboat moves along a large lake on a breezy day
5180,a woman talks enthusiastically about the recent discoveries scientists have made about pluto
5191,woman talking about a stroller
5200,my little pony ponies stand next to each other looking serious
5232,an old woman is pouring oil into a pan
5238,footage of a man in a hospital is being shown while facts about drunk driving appear
5242,two wrestlers are attempting to win a wrestling match they are competitive
5249,guy singing in  a crowd here
5262,there is a lay driving a car
5277,a woman is putting together a brown earth
5321,a man speaks to a camera for a video segment
5324,a person is jumping
5340,four judges are watching three women sing
5378,woman reporting about politics
5389,a woman s bra and half covered breats is shown
5394,a man adds cooking oil to a frying pan and then adds shrimp to it
5489,someone with a camera is walking around a plantation
5518,and parsley are added to a glass blender on a cooking show
5527,a bare-chested man with a beard looks down at a woman with blonde hair while that same woman slowly walks forward in a white dress with gray overlay pinned at the shoulders
5532,a lighthouse in the ocean and a diagram of fish swimming into a net
5544,little girls doing the stanky leg
5549,girl playing the drum set
5553,a man is singing
5569,a man comments over gameplay from plants vs zombies garden warfare
5606,a man shows how to properly play a guitar
5632,a man is shooting a gun at a screen of bill clinton
5666,a man uses a shovel to till near a white cow and another man on a dirt incline between rows of rocks and patches of green grass
5694,person putting an empty chip bag in microwave
5699,a woman is sitting at a table
5757,kids dance to the whip it song
5778,a men and a women are dancing for a music
5812,a person is cutting a green onion leaves to make dish
5813,a football player breaks many tackles
5817,a woman taking path in between she attending a phone call speaking with someone
5829,a man is explaining new studies of nasa on a news channel
5834,there is  a white horse eating some food
5873,there is a man is talking about a game play
5925,a fireworks display is going off at night
5994,a news reporter talking about a particular crime
6020,a woman talks about a stick of eyeliner
6022,person playing with a  toy
6023,its a digital camera on a table
6049,two men on motorcycles are talking and joking with each other
6050,a man gives a framerate tuturial
6057,a man and woman smile outside and people shake hands
6079,a young girl plays with her large doll
6109,a music video by rap artist nikki minaj is played
6127,how to make a boat using paper
6143,a man is getting ready to ride a horse
6225,a person is running on the track
6277,two men are holding another man and putting him  on the bed
6309,a woman is discussing a movie clip of a white and black man talking
6315,a series of scenic nature shots appear in succession before cutting to the title card for a major motion picture
6332,young woman and young men dancing on a tropical beach to music
6343,a pokemon videogame is being played
6359,someone is packing fruits in a plastic cover
6380,a woman works on a fashion drawing of a dress
6382,there are so many types of floras and faunas in the deep blue ocean
6403,a boy climbling tree  branch and jumping inside water displaying on screen
6416,some ending graphics bouncing to the beat of music
6442,a colonial cartoon depicts a bar scene
6473,dark room with woman then one man strangles another from behind
6477,a women news reporter interviewing a costumer a who is buying prom dresses then a pretty women walks into the room with a beautiful blue gown on
6478,gamespot news talking about rise of the tomb raider
6484,talent show competition extract
6499,a man hands a book to a women in a blue sweater with blond hair in a bun
